id,user_id,token,device_info,expires_at,created_at
1,1,b39fd303780b19b1942343c420cc16b723bb87f34daa35c3ab037485128d1a76,Firefox Linux,2026-05-10 14:00:00,2026-04-10 14:00:00
2,2,a515f8084a5160a9f8bd374a7312fceec1d56eac66f4aeb25d575c2665d0f36d,Chrome Windows,2026-05-03 19:00:00,2026-04-03 19:00:00
3,3,1b80be6956ff3fff1043e0cff51b2d035bccc87da4e71fb0fff4061efe9a85ce,Firefox Linux,2026-05-07 03:00:00,2026-04-07 03:00:00
4,4,551d61b4f088322a0ba36c1a1e4b0561b6987b1d9fb18e18a6fbca40c6e83428,Safari iOS,2026-05-10 07:00:00,2026-04-10 07:00:00
5,5,6545701c73c9744147dbe1cf51208000ef781d8e653f7cc608a3083aa8a624f8,Chrome Windows,2026-05-10 13:00:00,2026-04-10 13:00:00
6,6,1e42a825805cc98130a76f640e066b11aff1673d586622441c64bb36b94db659,Firefox Linux,2026-05-08 09:00:00,2026-04-08 09:00:00
7,7,fad7fd8763a2a52c446654ba4eb67f98d3ab62c66dd57454d1d4b6304f695a1e,Firefox Linux,2026-05-05 17:00:00,2026-04-05 17:00:00
8,8,b2d27a4a66866ffc5fdd34cfec042de342f6832837c8b0bf56bd76c7040ab8c4,Edge Windows,2026-05-11 22:00:00,2026-04-11 22:00:00
9,9,fa1d1b68af789ab2271b7003a692b1fd09cbee651004662eeb2255d2241c92d2,Firefox Linux,2026-05-03 01:00:00,2026-04-03 01:00:00
10,10,1e08cc9c184182f7637112d07d1c871b5f74f0dddf962d1c4c90a895c57c3a5e,Safari iOS,2026-05-11 18:00:00,2026-04-11 18:00:00
11,11,90306a90b97c852a3693e8f1ffa20e11a664a81599e0a799f1477c9d582cc269,Firefox Linux,2026-05-03 01:00:00,2026-04-03 01:00:00
12,12,7da9f895f05993016b4eebcfa4fc280eb7b37d5ddb1d1f8b06683f9af061ed08,Chrome Windows,2026-05-06 15:00:00,2026-04-06 15:00:00
13,13,bd448041ca2a06b98349bf2c2608d16c05f2ff3f2b1b3c567f796609fd8b4a64,Firefox Linux,2026-05-05 20:00:00,2026-04-05 20:00:00
14,14,ba43105be3f737d24f737706ba50f2b6337d0aa0858b7843afb6aa86ce306fbf,Chrome Android,2026-05-05 17:00:00,2026-04-05 17:00:00
15,15,dda7b4656acdf2772a448cc534df6f9aa218c27ae80a99689c17a7e12e00ba81,Chrome Windows,2026-05-11 14:00:00,2026-04-11 14:00:00
16,16,fe1a14c24e69f9d5b3aec150f905c330cdd91378e5b4a61d3cea9c7095d29744,Chrome Windows,2026-05-06 06:00:00,2026-04-06 06:00:00
17,17,8621feee6eec65fd08e547bc7cc91c416c70083c0a981209e6711c7c9c1d823a,Firefox Linux,2026-05-04 15:00:00,2026-04-04 15:00:00
18,18,8982e078ad8e38ca6830df5a9d7d1c223f3420799c1e3308726f7d4731170720,Chrome Windows,2026-05-04 21:00:00,2026-04-04 21:00:00
19,19,724943b25b0d066edd6cf4d73b31c578de6b31b2a7ed2f0f4140b9a1b534d9e6,Edge Windows,2026-05-08 08:00:00,2026-04-08 08:00:00
20,20,bfd67fbe248acc04b6d61a124ab80796be1357311acc9248362a21016bded826,Firefox Linux,2026-05-02 22:00:00,2026-04-02 22:00:00
21,21,ec83fa54192df2e0ee1d77fac5d7d7c701481a0a4636a7bed531d1dfe929d6e0,Chrome Android,2026-05-08 08:00:00,2026-04-08 08:00:00
22,22,b71b5ec8ea01fa2d237bffb54a27b28dd2243224032fc5069fa7cba31f507992,Chrome Windows,2026-05-02 04:00:00,2026-04-02 04:00:00
23,23,82906bed07d21d609baa2deb5909fdfaf223fa42ac574d7260b4cb31435cf238,Firefox Linux,2026-05-09 05:00:00,2026-04-09 05:00:00
24,24,be1e2f6d93cd63180c5e65663282ceafaabee44976ec13e9b7c3edd9de2c17c1,Edge Windows,2026-05-03 11:00:00,2026-04-03 11:00:00
25,25,ac89148fb2413f3aeb20a714e65d4753cab92a57353f32b6e2d45d98fc3e627d,Chrome Android,2026-05-07 14:00:00,2026-04-07 14:00:00
26,26,282ac218151feba3f95c61ea1c086b26020efa2ae47969486592c5319314b99b,Firefox Linux,2026-05-05 21:00:00,2026-04-05 21:00:00
27,27,e6fa6facd66513e5ddaaf799f983bcaa84b1333c4ab75084d5675c325e7a45b2,Chrome Windows,2026-05-06 06:00:00,2026-04-06 06:00:00
