id,fullname,email,password_hash,profile_image,created_at,updated_at
1,Wahyu Saputra,wahyu.saputra1@example.com,96ace8d36b7a2c1423aa3886b70101fab26c0cd22733bdd78bc64aa88e56c560,https://cdn.example.com/profiles/1.png,2025-08-19 01:00:00,2025-09-06 01:00:00
2,Rani Saputra,rani.saputra2@campusmail.id,54b54df2925579db43e616310494e29e6667dd72daa5a9beb4afc68b4d23d741,https://cdn.example.com/profiles/2.png,2025-03-18 06:00:00,2025-06-02 06:00:00
3,Nadia Pratama,nadia.pratama3@example.com,5d2aea724fe1e5dd899fcb45f541f6b10c61c65ff5f2922b03d48d1a26f854ef,,2025-08-24 16:00:00,2025-11-10 16:00:00
4,Alya Kurniawan,alya.kurniawan4@example.com,93523b0761950a989173d6870b82065494d82b9159d837fe5a2d420d511eabe9,https://cdn.example.com/profiles/4.png,2025-03-17 19:00:00,2025-04-15 19:00:00
5,Oki Permata,oki.permata5@studentmail.ac.id,d84def102e47bcb985144f28ca28e18e36a73cfd84e3cedf29d2bbef08343078,https://cdn.example.com/profiles/5.png,2025-12-19 03:00:00,2026-03-19 03:00:00
6,Nadia Putri,nadia.putri6@studentmail.ac.id,fd8c410abe01fb5d401af2868f3d84f03aaba6a418e2e5236d792e655a25c0ca,,2025-07-03 05:00:00,2025-07-15 05:00:00
7,Maya Saputra,maya.saputra7@studentmail.ac.id,fba553031734c4bdcfc0e7dda851ee7f9dbf4417befc9efb668a82d80ff9a53e,https://cdn.example.com/profiles/7.png,2025-08-09 07:00:00,2025-10-07 07:00:00
8,Salsa Saputra,salsa.saputra8@studentmail.ac.id,756201d9d7d5d9ce74a808606eb623c0c49ede779a2c3540ebae68ab9c22510d,,2025-07-24 12:00:00,2025-10-12 12:00:00
9,Bayu Febriani,bayu.febriani9@studentmail.ac.id,660a99104fffa50840626984d44246ee42ce2e6a0db7043506ce2db7efec880f,https://cdn.example.com/profiles/9.png,2025-11-17 07:00:00,2026-02-10 07:00:00
10,Hana Nugroho,hana.nugroho10@studentmail.ac.id,e091763eee0b5df20654d3a61b515314d16093e4269e6b25296fa78d15217efc,https://cdn.example.com/profiles/10.png,2025-08-25 05:00:00,2025-10-13 05:00:00
11,Iqbal Azzahra,iqbal.azzahra11@campusmail.id,74f2e5a4313eb686da2d77a56c1a318bbef3c23a7b56a839cd12eb30d4712436,https://cdn.example.com/profiles/11.png,2025-09-29 21:00:00,2025-11-14 21:00:00
12,Gita Hidayat,gita.hidayat12@studentmail.ac.id,02144c60c9c3736fa452d38be791303b6ff925f0821eb23cde404c053c5cc316,https://cdn.example.com/profiles/12.png,2025-11-15 13:00:00,2026-02-05 13:00:00
13,Fajar Kurniawan,fajar.kurniawan13@campusmail.id,939a934e94063b8be1340861c36d049db326f801e4caa1fde215601d576c6f5b,,2025-04-29 20:00:00,2025-06-03 20:00:00
